item_id,employee_id,store_id,date_time,quantity
100001,1,0,2021-01-01 00:00:00,100
100001,1,0,2021-01-06 00:00:21,147
100001,1,0,2021-01-11 00:00:38,142
100001,1,0,2021-01-16 00:00:59,139
100001,1,0,2021-01-21 00:00:02,130
100001,1,0,2021-01-26 00:01:27,125
100001,1,0,2021-01-31 00:00:53,118
100002,1,0,2021-01-01 00:00:00,100
100002,1,0,2021-01-06 00:00:21,137
100002,1,0,2021-01-11 00:00:38,126
100002,1,0,2021-01-16 00:00:59,124
100002,1,0,2021-01-21 00:00:02,118
100002,1,0,2021-01-26 00:01:27,115
100002,1,0,2021-01-31 00:00:53,115
100003,1,0,2021-01-01 00:00:00,100
100003,1,0,2021-01-06 00:00:21,141
100003,1,0,2021-01-11 00:00:38,136
100003,1,0,2021-01-16 00:00:59,131
100003,1,0,2021-01-21 00:00:02,108
100003,1,0,2021-01-26 00:01:27,105
100003,1,0,2021-01-31 00:00:53,147
100004,1,0,2021-01-01 00:00:00,100
100004,1,0,2021-01-06 00:00:21,139
100004,1,0,2021-01-11 00:00:38,137
100004,1,0,2021-01-16 00:00:59,132
100004,1,0,2021-01-21 00:00:02,127
100004,1,0,2021-01-26 00:01:27,124
100004,1,0,2021-01-31 00:00:53,117
100005,1,0,2021-01-01 00:00:00,100
100005,1,0,2021-01-06 00:00:21,149
100005,1,0,2021-01-11 00:00:38,134
100005,1,0,2021-01-16 00:00:59,120
100005,1,0,2021-01-21 00:00:02,112
100005,1,0,2021-01-26 00:01:27,102
100005,1,0,2021-01-31 00:00:53,141
100006,1,0,2021-01-01 00:00:00,100
100006,1,0,2021-01-06 00:00:21,149
100006,1,0,2021-01-11 00:00:38,143
100006,1,0,2021-01-16 00:00:59,143
100006,1,0,2021-01-21 00:00:02,137
100006,1,0,2021-01-26 00:01:27,131
100006,1,0,2021-01-31 00:00:53,123
100007,1,0,2021-01-01 00:00:00,100
100007,1,0,2021-01-06 00:00:21,146
100007,1,0,2021-01-11 00:00:38,140
100007,1,0,2021-01-16 00:00:59,137
100007,1,0,2021-01-21 00:00:02,134
100007,1,0,2021-01-26 00:01:27,133
100007,1,0,2021-01-31 00:00:53,131
100008,1,0,2021-01-01 00:00:00,100
100008,1,0,2021-01-06 00:00:21,127
100008,1,0,2021-01-11 00:00:38,115
100008,1,0,2021-01-16 00:00:59,115
100008,1,0,2021-01-21 00:00:02,111
100008,1,0,2021-01-26 00:01:27,96
100008,1,0,2021-01-31 00:00:53,140
100009,1,0,2021-01-01 00:00:00,100
100009,1,0,2021-01-06 00:00:21,149
100009,1,0,2021-01-11 00:00:38,140
100009,1,0,2021-01-16 00:00:59,131
100009,1,0,2021-01-21 00:00:02,126
100009,1,0,2021-01-26 00:01:27,121
100009,1,0,2021-01-31 00:00:53,112
100010,1,0,2021-01-01 00:00:00,100
100010,1,0,2021-01-06 00:00:21,143
100010,1,0,2021-01-11 00:00:38,129
100010,1,0,2021-01-16 00:00:59,120
100010,1,0,2021-01-21 00:00:02,107
100010,1,0,2021-01-26 00:01:27,104
100010,1,0,2021-01-31 00:00:53,95
100011,1,0,2021-01-01 00:00:00,100
100011,1,0,2021-01-06 00:00:21,150
100011,1,0,2021-01-11 00:00:38,148
100011,1,0,2021-01-16 00:00:59,140
100011,1,0,2021-01-21 00:00:02,136
100011,1,0,2021-01-26 00:01:27,120
100011,1,0,2021-01-31 00:00:53,102
100012,1,0,2021-01-01 00:00:00,100
100012,1,0,2021-01-06 00:00:21,147
100012,1,0,2021-01-11 00:00:38,146
100012,1,0,2021-01-16 00:00:59,139
100012,1,0,2021-01-21 00:00:02,131
100012,1,0,2021-01-26 00:01:27,123
100012,1,0,2021-01-31 00:00:53,117
100013,1,0,2021-01-01 00:00:00,100
100013,1,0,2021-01-06 00:00:21,143
100013,1,0,2021-01-11 00:00:38,137
100013,1,0,2021-01-16 00:00:59,132
100013,1,0,2021-01-21 00:00:02,127
100013,1,0,2021-01-26 00:01:27,118
100013,1,0,2021-01-31 00:00:53,109
100014,1,0,2021-01-01 00:00:00,100
100014,1,0,2021-01-06 00:00:21,129
100014,1,0,2021-01-11 00:00:38,121
100014,1,0,2021-01-16 00:00:59,117
100014,1,0,2021-01-21 00:00:02,110
100014,1,0,2021-01-26 00:01:27,101
100014,1,0,2021-01-31 00:00:53,141
100015,1,0,2021-01-01 00:00:00,100
100015,1,0,2021-01-06 00:00:21,141
100015,1,0,2021-01-11 00:00:38,137
100015,1,0,2021-01-16 00:00:59,132
100015,1,0,2021-01-21 00:00:02,118
100015,1,0,2021-01-26 00:01:27,112
100015,1,0,2021-01-31 00:00:53,104
100016,1,0,2021-01-01 00:00:00,100
100016,1,0,2021-01-06 00:00:21,143
100016,1,0,2021-01-11 00:00:38,137
100016,1,0,2021-01-16 00:00:59,124
100016,1,0,2021-01-21 00:00:02,124
100016,1,0,2021-01-26 00:01:27,116
100016,1,0,2021-01-31 00:00:53,107
100017,1,0,2021-01-01 00:00:00,100
100017,1,0,2021-01-06 00:00:21,136
100017,1,0,2021-01-11 00:00:38,130
100017,1,0,2021-01-16 00:00:59,121
100017,1,0,2021-01-21 00:00:02,112
100017,1,0,2021-01-26 00:01:27,105
100017,1,0,2021-01-31 00:00:53,140
100018,1,0,2021-01-01 00:00:00,100
100018,1,0,2021-01-06 00:00:21,144
100018,1,0,2021-01-11 00:00:38,142
100018,1,0,2021-01-16 00:00:59,130
100018,1,0,2021-01-21 00:00:02,119
100018,1,0,2021-01-26 00:01:27,118
100018,1,0,2021-01-31 00:00:53,118
100019,1,0,2021-01-01 00:00:00,100
100019,1,0,2021-01-06 00:00:21,149
100019,1,0,2021-01-11 00:00:38,142
100019,1,0,2021-01-16 00:00:59,142
100019,1,0,2021-01-21 00:00:02,134
100019,1,0,2021-01-26 00:01:27,131
100019,1,0,2021-01-31 00:00:53,125
100020,1,0,2021-01-01 00:00:00,100
100020,1,0,2021-01-06 00:00:21,133
100020,1,0,2021-01-11 00:00:38,122
100020,1,0,2021-01-16 00:00:59,121
100020,1,0,2021-01-21 00:00:02,116
100020,1,0,2021-01-26 00:01:27,113
100020,1,0,2021-01-31 00:00:53,108
100021,1,0,2021-01-01 00:00:00,100
100021,1,0,2021-01-06 00:00:21,143
100021,1,0,2021-01-11 00:00:38,134
100021,1,0,2021-01-16 00:00:59,115
100021,1,0,2021-01-21 00:00:02,104
100021,1,0,2021-01-26 00:01:27,101
100021,1,0,2021-01-31 00:00:53,135
100022,1,0,2021-01-01 00:00:00,100
100022,1,0,2021-01-06 00:00:21,135
100022,1,0,2021-01-11 00:00:38,132
100022,1,0,2021-01-16 00:00:59,118
100022,1,0,2021-01-21 00:00:02,117
100022,1,0,2021-01-26 00:01:27,109
100022,1,0,2021-01-31 00:00:53,102
100023,1,0,2021-01-01 00:00:00,100
100023,1,0,2021-01-06 00:00:21,149
100023,1,0,2021-01-11 00:00:38,143
100023,1,0,2021-01-16 00:00:59,137
100023,1,0,2021-01-21 00:00:02,134
100023,1,0,2021-01-26 00:01:27,127
100023,1,0,2021-01-31 00:00:53,115
100024,1,0,2021-01-01 00:00:00,100
100024,1,0,2021-01-06 00:00:21,144
100024,1,0,2021-01-11 00:00:38,142
100024,1,0,2021-01-16 00:00:59,142
100024,1,0,2021-01-21 00:00:02,135
100024,1,0,2021-01-26 00:01:27,117
100024,1,0,2021-01-31 00:00:53,112
100025,1,0,2021-01-01 00:00:00,100
100025,1,0,2021-01-06 00:00:21,141
100025,1,0,2021-01-11 00:00:38,122
100025,1,0,2021-01-16 00:00:59,119
100025,1,0,2021-01-21 00:00:02,114
100025,1,0,2021-01-26 00:01:27,110
100025,1,0,2021-01-31 00:00:53,102
100026,1,0,2021-01-01 00:00:00,100
100026,1,0,2021-01-06 00:00:21,149
100026,1,0,2021-01-11 00:00:38,140
100026,1,0,2021-01-16 00:00:59,132
100026,1,0,2021-01-21 00:00:02,126
100026,1,0,2021-01-26 00:01:27,119
100026,1,0,2021-01-31 00:00:53,104
100027,1,0,2021-01-01 00:00:00,100
100027,1,0,2021-01-06 00:00:21,147
100027,1,0,2021-01-11 00:00:38,147
100027,1,0,2021-01-16 00:00:59,140
100027,1,0,2021-01-21 00:00:02,139
100027,1,0,2021-01-26 00:01:27,139
100027,1,0,2021-01-31 00:00:53,137
100028,1,0,2021-01-01 00:00:00,100
100028,1,0,2021-01-06 00:00:21,144
